💝CCTV,#genre#
中央1台-01,http://111.40.196.33/PLTV/88888888/224/3221225769/index.m3u8?$移动高清720P
中央1台-05,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8?$移动超清1080P
中央1台-06,http://iptv.tvfix.org/hls/cctv1hd.m3u8?$全网超清1080P
中央1台-07,http://117.148.179.155:80/PLTV/88888888/224/3221231468/1.m3u8?$咪咕移动1080P
中央2台-01,http://111.20.106.13:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央2台-02,http://iptv.tvfix.org/hls/cctv2hd.m3u8?$全网超清1080P
中央2台-03,http://111.20.41.249:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8?$移动超清1080P
中央2台-04,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-2/1.m3u8?$移动超清1080P
中央2台-05,http://117.148.179.147:80/PLTV/88888888/224/3221231678/1.m3u8?$咪咕移动1080P
中央2台-06,http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8?$移动蓝光1080P
中央3台-01,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8
中央3台-02,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-3/1.m3u8?$移动超清1080P
中央3台-03,http://111.40.196.29/PLTV/88888888/224/3221225588/index.m3u8?$移动高清720P
中央3台-04,http://iptv.tvfix.org/hls/cctv3hd.m3u8?$移动超清1080P
中央3台-05,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8?$移动蓝光1080P
中央3台-06,http://111.20.106.13:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央3台-07,http://111.20.41.249:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8?$移动超清1080P
中央3台-08,http://117.148.179.183:80/PLTV/88888888/224/3221231682/index.m3u8?$咪咕移动1080P
中央4台-01,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
中央4台-02,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8?$移动超清1080P
中央4台-03,http://111.20.106.13:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央4台-04,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-4/1.m3u8?$移动超清1080P
中央4台-05,http://39.135.47.101:6610/000000001000/HD-8000k-1080P-cctv4/1.m3u8?$移动超清1080P
中央4台-06,http://111.20.41.248:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8?$移动超清1080P
中央4台-07,http://117.148.179.183/PLTV/88888888/224/3221231726/index.m3u8?$咪咕移动1080P
中央4台-08,http://iptv.tvfix.org/hls/cctv4hd.m3u8?$全网超清1080P
中央5台-01,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
中央5台-02,http://iptv.tvfix.org/hls/cctv5hd.m3u8?$全网超清1080P
中央5台-03,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-5/1.m3u8?$移动超清1080P
中央5台-04,http://111.20.41.242:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8?$移动超清1080P
中央5台-05,http://39.135.55.7:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1$移动超清1080P
中央5台-06,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8?$移动超清1080P
中央6台-01,http://117.148.179.153:80/PLTV/88888888/224/3221231724/index.m3u8
中央6台-02,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-6/1.m3u8?$移动超清1080P
中央6台-03,http://39.135.47.101:6610/000000001000/HD-4000k-1080P-cctv6/1.m3u8?$移动超清1080P
中央6台-04,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8?$移动蓝光1080P
中央6台-05,http://iptv.tvfix.org/hls/cctv6hd.m3u8?$全网超清1080P
中央6台-06,http://111.20.106.13:6610/yinhe/2/ch00000090990000001275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央6台-07,http://111.20.41.252:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8?$移动超清1080P
中央6台-08,http://111.20.33.93:80/PLTV/88888893/224/3221226011/index.m3u8?$移动高清1080P
中央6台-09,http://117.148.179.153:80/PLTV/88888888/224/3221231724/index.m3u8?$咪咕移动1080P
中央7台-01,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel7/2300.m3u8
中央7台-02,http://iptv.tvfix.org/hls/cctv7hd.m3u8?$全网超清1080P
中央7台-03,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-7/1.m3u8?$移动超清1080P
中央7台-04,http://39.135.47.101:6610/000000001000/cctv-7/1.m3u8?$移动超清1080P
中央7台-05,http://111.20.41.242:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8?$移动超清1080P
中央7台-06,http://111.20.106.13:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央8台-01,http://111.40.196.31/PLTV/88888888/224/3221225592/index.m3u8?$移动高清720P
中央8台-02,http://39.135.55.7:6610/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1$移动超清1080P
中央8台-03,http://iptv.tvfix.org/hls/cctv8hd.m3u8?$全网超清1080P
中央8台-04,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-8/1.m3u8?$移动超清1080P
中央8台-05,http://117.148.179.160:80/PLTV/88888888/224/3221231694/index.m3u8?$咪咕移动1080P
中央8台-06,http://39.135.138.59:18890/TVOD/88888910/224/3221225635/index.m3u8?$移动超清1080P
中央9台-01,http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8?$移动高清720P
中央9台-02,http://111.20.106.13:6610/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央9台-03,http://111.20.41.250:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8?$移动超清1080P
中央9台-04,http://117.148.179.163/PLTV/88888888/224/3221231697/index.m3u8?$咪咕移动1080P
中央9台-05,http://iptv.tvfix.org/hls/cctv9hd.m3u8?$全网超清1080P
中央10台-01,http://117.148.179.174/PLTV/88888888/224/3221231666/index.m3u8?$咪咕移动1080P
中央10台-02,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8?$移动蓝光1080P
中央10台-03,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-10/1.m3u8?$移动超清1080P
中央11台-01,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-11/1.m3u8?$移动超清1080P
中央11台-02,http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8?$移动蓝光1080P
中央11台-03,http://117.148.179.165/PLTV/88888888/224/3221231711/index.m3u8?$咪咕移动1080P
中央11台-04,http://39.135.138.59:18890/TVOD/88888910/224/3221225628/index.m3u8?$移动超清1080P
中央11台-05,http://iptv.tvfix.org/hls/cctv11hd.m3u8?$全网超清1080P
中央12台-01,http://39.134.65.162/PLTV/88888888/224/3221225669/index.m3u8?$移动蓝光1080P
中央12台-02,http://111.20.106.13:6610/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$移动超清1080P
中央12台-03,http://39.135.212.1:6610/yst.live.scmobile.com/otvzte.scmcc.com.cn:8080/ysten-business/live/cctv-12/1.m3u8?$移动超清1080P
